timestamp,prev_state,new_state,temp
2018-12-30T23:23:23.965Z,0,0,78.368
2018-12-30T23:23:29.086Z,0,0,78.422
2018-12-30T23:23:34.208Z,0,0,78.422
2018-12-30T23:23:39.327Z,0,0,78.404
2018-12-30T23:23:44.446Z,0,0,78.368
2018-12-30T23:23:49.556Z,0,0,78.332
2018-12-30T23:23:54.679Z,0,0,78.332
2018-12-30T23:23:59.796Z,0,0,78.29599999999999
2018-12-30T23:24:04.916Z,0,0,78.224
2018-12-30T23:24:10.035Z,0,0,78.152
2018-12-30T23:24:15.194Z,0,0,78.098
2018-12-30T23:24:20.334Z,0,0,78.026
2018-12-30T23:24:25.447Z,0,0,78.044
2018-12-30T23:24:30.555Z,0,0,77.99000000000001
2018-12-30T23:24:35.666Z,0,0,77.99000000000001
2018-12-30T23:24:40.830Z,0,0,77.95400000000001
2018-12-30T23:24:45.940Z,0,0,77.972
2018-12-30T23:24:51.045Z,0,0,78.026
2018-12-30T23:24:56.147Z,0,0,78.062
2018-12-30T23:25:01.256Z,0,0,78.08
2018-12-30T23:25:06.367Z,0,0,78.062
2018-12-30T23:25:11.477Z,0,0,78.008
2018-12-30T23:25:16.587Z,0,0,77.972
2018-12-30T23:25:21.697Z,0,0,77.972
2018-12-30T23:25:26.808Z,0,0,77.95400000000001
2018-12-30T23:25:31.920Z,0,0,77.936
2018-12-30T23:25:37.026Z,0,0,77.936
2018-12-30T23:25:42.137Z,0,0,77.936
2018-12-30T23:25:47.279Z,0,0,77.918
2018-12-30T23:25:52.388Z,0,0,77.9
2018-12-30T23:25:57.499Z,0,0,77.864
2018-12-30T23:26:02.607Z,0,0,77.828
2018-12-30T23:26:07.720Z,0,0,77.792
2018-12-30T23:26:12.841Z,0,0,77.774
2018-12-30T23:26:17.947Z,0,0,77.738
2018-12-30T23:26:23.059Z,0,0,77.738
2018-12-30T23:26:28.168Z,0,0,77.72
2018-12-30T23:26:33.280Z,0,0,77.702
2018-12-30T23:26:38.389Z,0,0,77.684
2018-12-30T23:26:43.500Z,0,0,77.666
2018-12-30T23:26:48.624Z,0,0,77.63
2018-12-30T23:26:53.727Z,0,0,77.612
2018-12-30T23:26:58.850Z,0,0,77.63
2018-12-30T23:27:03.960Z,0,0,77.648
2018-12-30T23:27:09.069Z,0,0,77.648
2018-12-30T23:27:14.182Z,0,0,77.684
2018-12-30T23:27:19.290Z,0,0,77.648
2018-12-30T23:27:24.419Z,0,0,77.648
2018-12-30T23:27:29.535Z,0,0,77.63
2018-12-30T23:27:34.643Z,0,0,77.594
2018-12-30T23:27:39.752Z,0,0,77.576
2018-12-30T23:27:44.865Z,0,0,77.55799999999999
2018-12-30T23:27:49.980Z,0,0,77.54
2018-12-30T23:27:55.086Z,0,0,77.52199999999999
2018-12-30T23:28:00.197Z,0,0,77.576
2018-12-30T23:28:05.329Z,0,0,77.54
2018-12-30T23:28:10.445Z,0,0,77.576
